ime,naslov,drzava,standard_rating,rapid_rating,blitz_rating,leto_rojstva
"Delgado Ramirez, Neuris",GM ,PAR,2604,2653,2622,1981
"Goryachkina, Aleksandra",GM WGM,RUS,2604,2521,2441,1998
"Thybo, Jesper Sondergaard",GM ,DEN,2604,2401,2195,1999
"Mamedov, Nidjat",GM ,AZE,2604,2624,2645,1985
"Santos Ruiz, Miguel",GM ,ESP,2603,2440,2527,1999
"Sakaev, Konstantin",GM ,RUS,2603,2510,2632,1974
"Lysyj, Igor",GM ,RUS,2603,2601,2611,1987
"Ye, Jiangchuan",GM ,CHN,2602,,,1960
"Alekseev, Evgeny",GM ,RUS,2602,2616,2608,1985
"Adly, Ahmed",GM ,EGY,2602,2597,2683,1987
"Gharamian, Tigran",GM ,FRA,2602,2650,2660,1984
"Izoria, Zviad",GM ,USA,2602,2579,2626,1984
"Milov, Vadim",GM ,SUI,2601,2635,2519,1972
"Vladimirov, Yevgeniy",GM ,KAZ,2601,2547,2512,1957
"Baramidze, David",GM ,GER,2601,,,1988
"Smirnov, Anton",GM ,AUS,2600,2367,2647,2001
"Kobalia, Mikhail",GM ,RUS,2600,2543,2543,1978
"Vaibhav, Suri",GM ,IND,2600,2543,2381,1997
"Quesada Perez, Yuniesky",GM ,USA,2600,2622,2622,1984
"Petrosyan, Manuel",GM ,ARM,2599,2514,2553,1998
"Brkic, Ante",GM ,CRO,2599,2597,2602,1988
"Belov, Vladimir",GM ,RUS,2598,2510,2501,1984
"Zubov, Alexander",GM ,UKR,2598,2688,2685,1983
"Gabuzyan, Hovhannes",GM ,ARM,2598,2535,2580,1995
"Najdoski, Toni",GM ,MKD,2598,,,1970
"Liang, Awonder",GM ,USA,2597,2397,2379,2003
"Efimenko, Zahar",GM ,UKR,2597,2609,2601,1985
"Vovk, Andriy",GM ,UKR,2597,2538,2535,1991
"Gozzoli, Yannick",GM ,FRA,2597,2626,2609,1983
"Zeng, Chongsheng",GM ,CHN,2597,2499,2376,1993
"Miroshnichenko, Evgenij",GM ,UKR,2597,2573,2539,1978
"Zhou, Weiqi",GM ,CHN,2597,2596,2590,1986
"Azarov, Sergei",GM ,BLR,2596,2580,2494,1983
"Dautov, Rustem",GM ,GER,2596,,2581,1965
"Hansen, Curt",GM ,DEN,2596,2596,,1964
"Borisek, Jure",GM ,SLO,2595,2552,2561,1986
"Fedorchuk, Sergey A.",GM ,UKR,2594,2566,2534,1981
"Van den Doel, Erik",GM ,NED,2594,2515,2468,1979
"Nguyen, Thai Dai Van",GM ,CZE,2594,2488,2446,2001
"Bachmann, Axel",GM ,PAR,2594,2618,2642,1989
"Solak, Dragan",GM ,TUR,2594,,2510,1980
"Bai, Jinshi",GM ,CHN,2593,2492,2516,1999
"Zilka, Stepan",GM ,CZE,2593,2474,2440,1988
Gopal G.N.,GM ,IND,2593,2523,2559,1989
"Bernadskiy, Vitaliy",GM ,UKR,2592,2616,2510,1994
"Leitao, Rafael",GM ,BRA,2592,2628,2609,1979
"Hellers, Ferdinand",GM ,SWE,2592,2521,2488,1969
"Banikas, Hristos",GM ,GRE,2592,2615,2601,1978
"Predojevic, Borki",GM ,BIH,2592,2587,2632,1987
"Filippov, Anton",GM ,UZB,2592,2494,2514,1986
"Hess, Robert",GM ,USA,2591,2621,2557,1991
"Rodshtein, Maxim",GM ,ISR,2591,2624,2555,1989
"Chadaev, Nikolai",GM ,RUS,2591,2629,2733,1988
"Peng, Xiaomin",GM ,CHN,2591,,,1973
"Braun, Arik",GM ,GER,2591,2611,2535,1988
"Sanal, Vahap",GM ,TUR,2590,2509,2499,1998
"Bacallao Alonso, Yusnel",GM ,CUB,2590,2479,2557,1988
"Bluvshtein, Mark",GM ,CAN,2590,,,1988
"Gajewski, Grzegorz",GM ,POL,2589,2496,2539,1985
"Wen, Yang",GM ,CHN,2588,2562,2596,1988
"Baklan, Vladimir",GM ,UKR,2588,2640,2610,1978
"Edouard, Romain",GM ,FRA,2588,2616,2521,1990
"Doettling, Fabian",GM ,GER,2587,,,1980
"Sindarov, Javokhir",GM ,UZB,2587,2353,2465,2005
"Mchedlishvili, Mikheil",GM ,GEO,2587,2589,2618,1979
"Maletin, Pavel",GM ,RUS,2586,2634,2544,1986
"Koneru, Humpy",GM WGM,IND,2586,2483,2483,1987
"Timofeev, Artyom",GM ,RUS,2586,2591,2628,1985
"Gurevich, Ilya",GM ,USA,2586,,,1972
Aryan Chopra,GM ,IND,2585,,,2001
"Iordachescu, Viorel",GM ,MDA,2585,2623,2534,1977
"Flores, Diego",GM ,ARG,2584,2578,2596,1982
"Goganov, Aleksey",GM ,RUS,2584,2583,2533,1991
"Reinderman, Dimitri",GM ,NED,2584,,2552,1972
"Giorgadze, Giorgi",GM ,GEO,2584,2550,2562,1964
"Sokolov, Ivan",GM ,NED,2584,2626,2526,1968
"Bindrich, Falko",GM ,GER,2584,2548,2566,1990
"Oleksiyenko, Mykhaylo",GM ,UKR,2584,2523,2552,1986
"Tomczak, Jacek",GM ,POL,2584,2533,2598,1990
"Heimann, Andreas",GM ,GER,2584,2616,2690,1992
"Yin, Hao",IM ,CHN,2583,,,1979
"Gareyev, Timur",GM ,USA,2583,2578,2588,1988
"Cornette, Matthieu",GM ,FRA,2583,2546,2500,1985
"Kacheishvili, Giorgi",GM ,GEO,2582,2516,2582,1977
"Christiansen, Johan-Sebastian",GM ,NOR,2582,2522,2593,1998
"Jobava, Baadur",GM ,GEO,2582,2679,2731,1983
"Papp, Gabor",GM ,HUN,2581,2540,2587,1987
"Cruz, Cristhian",GM ,PER,2581,2516,2502,1992
"Shimanov, Aleksandr",GM ,RUS,2581,2616,2570,1992
